# Stage 6D-A4 — REAL PRODUCER-AUTHORED corpus provenance. Files were fetched to scratch storage and deleted; none is committed.
# Reference-test sources (3MF Consortium test_suites, 3mf-samples, lib3mf, assimp, tinyobjloader, numpy-stl, admesh, CuraEngine) are summarised in the Stage 6D-A4 design section.
# class	source	commit	path	bytes	sha256	format	zip	production_path	required_ext	application	expected	actual	parts	triangles
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/model/ksr_FDMTest.stl	2877384	66c3b5a5e49266c3	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	57546
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/model/rounded_rectangle.stl	6284	d6f6f152d0180277	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	124
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/model/torus.stl	153684	b867943480af4420	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	3072
REAL PRODUCER-AUTHORED	github.com/SoftFever/OrcaSlicer	db91d4b63046	resources/calib/filament_flow/Orca-LinearFlow.3mf	256455	c998359cef8c247c	3mf	zip64	no	-	-	import (refuse OBJ polygons by policy)	imported	11	15160
REAL PRODUCER-AUTHORED	github.com/SoftFever/OrcaSlicer	db91d4b63046	resources/calib/filament_flow/Orca-LinearFlow_fine.3mf	357844	15f3e750122e4663	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	16	27976
REAL PRODUCER-AUTHORED	github.com/SoftFever/OrcaSlicer	db91d4b63046	resources/calib/filament_flow/flowrate-test-pass1.3mf	151525	6e86280ef6dd912d	3mf	zip64	no	-	-	import (refuse OBJ polygons by policy)	imported	9	7136
REAL PRODUCER-AUTHORED	github.com/SoftFever/OrcaSlicer	db91d4b63046	resources/calib/filament_flow/flowrate-test-pass2.3mf	142301	b2ac0302c36a810f	3mf	zip64	no	-	-	import (refuse OBJ polygons by policy)	imported	10	6688
REAL PRODUCER-AUTHORED	github.com/SoftFever/OrcaSlicer	db91d4b63046	resources/calib/filament_flow/pass1.3mf	151500	10f5854014b06df6	3mf	zip64	no	-	-	import (refuse OBJ polygons by policy)	imported	9	7136
REAL PRODUCER-AUTHORED	github.com/SoftFever/OrcaSlicer	db91d4b63046	resources/calib/pressure_advance/auto_pa_line_dual.3mf	29649	f06f8914ad2c7b1f	3mf	zip32	yes	p	BambuStudio-02.00.02.01	import (refuse OBJ polygons by policy)	imported	16	192
REAL PRODUCER-AUTHORED	github.com/SoftFever/OrcaSlicer	db91d4b63046	resources/calib/pressure_advance/auto_pa_line_single.3mf	28096	0471cf345fffa68e	3mf	zip32	yes	p	BambuStudio-02.00.02.01	import (refuse OBJ polygons by policy)	imported	8	96
REAL PRODUCER-AUTHORED	github.com/SoftFever/OrcaSlicer	db91d4b63046	resources/calib/pressure_advance/pa_pattern.3mf	23059	2e2c0e271a50c6f8	3mf	zip32	yes	p	BambuStudio-01.07.03.04	import (refuse OBJ polygons by policy)	imported	1	12
REAL PRODUCER-AUTHORED	github.com/SoftFever/OrcaSlicer	db91d4b63046	resources/handy_models/OrcaBadge.3mf	817091	04573823874f90a8	3mf	zip32	yes	p	BambuStudio-02.06.00.51	import (refuse OBJ polygons by policy)	imported	39	72586
REAL PRODUCER-AUTHORED	github.com/SoftFever/OrcaSlicer	db91d4b63046	resources/handy_models/OrcaSliced.3mf	3170902	b72e8c68d84d3996	3mf	zip32	no	-	BambuStudio-02.06.00.51	import (refuse OBJ polygons by policy)	imported	30	256568
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/101hero-platform.3mf	45635	75beb510b9a7f734	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	4822
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/3dator_platform.3mf	54592	a87b8403575bc8b1	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	8612
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/3di_d300_platform.STL	332484	8fdac42f300d8f3a	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	6648
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/3dtech_semi_professional_platform.3mf	103912	16ab8335c2ff0823	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	11742
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/Atom 3 bed.3mf	506204	b65fc6f73b39c9bd	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	34358
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/Atom 3 lite bed.3mf	979600	f09365d31a3430a7	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	60336
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/BEEVERYCREATIVE-helloBEEprusa.3mf	140327	0a7cbdda3143f8f0	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	17056
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/BIQU_BX_PLATE.stl	145584	0cbb8880b5724f02	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	2910
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/BIQU_Hurakan_bed.stl	1037484	947ca8d0c3743ab9	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	20748
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/BIQU_SSS.stl	223384	d5bf59c9a17e81b3	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	4466
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/FT-5_build_plate.3mf	54843	3a2a6cac3c723f0e	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	7056
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/FelixPro2_platform.obj	88389	bfadfca638ba7121	obj	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	1912
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/FelixTec4_platform.3mf	20755	e4103710b5fd45df	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	2876
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/FlashForge_DreamerNX.obj	225182	f755bf013360016b	obj	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	6982
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/Hellbot_Magna_2_230.obj	32648	50c5670a731bcbe2	obj	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	260
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/Hellbot_Magna_2_300.obj	33827	a823c8e30eed0c2d	obj	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	268
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/Hellbot_Magna_2_400.obj	33881	9cba5489e63854f0	obj	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	268
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/Hellbot_Magna_2_500.obj	33854	bc4ee3c53aefd6e7	obj	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	268
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/Hellbot_Magna_SE_300.obj	21572	b9f371aae1ebae63	obj	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	172
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/Hellbot_Magna_SE_Pro.obj	32326	c169a1875a21c076	obj	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	260
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/Original_Prusa_i3_MK3S_MK3_platform.3mf	72132	4466182d02bbcfaa	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	9756
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/SH65_platform.STL	322284	9c98a0f74d4bcb52	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	6444
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/STREAM20PRO_platform.STL	190184	d85020132c5974d6	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	3802
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/STREAM30PRO_platform.STL	198284	e98c8d78ad6a4f85	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	3964
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/STREAM30ULTRA_platform.STL	157084	eca8f8699442e2ab	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	3140
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/Vertex_build_panel.3mf	1413	af2753463694e420	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	44
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/alya_nx_platform.3mf	46052	7bf65ed3b330d060	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	6478
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/alya_platform.3mf	51473	e9c0d9f17c7a29d1	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	7748
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/aneta6_platform.3mf	3835	56f734cfbb658f2a	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	508
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/ankermake_m5_platform.obj	16653	fab8f46d9cb6e57c	obj	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	364
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/ankermake_m5c_platform.obj	16653	fab8f46d9cb6e57c	obj	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	364
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/anycubic_4max_platform.3mf	1428	f9dbb2a996c3742b	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	44
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/anycubic_chiron_platform.obj	713	6c4bf8c2720f36b4	obj	-	-	-	-	import (refuse OBJ polygons by policy)	UNSUPPORTED_FILE/OBJ_POLYGON_UNSUPPORTED	-	-
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/anycubic_i3_mega_platform.3mf	1428	f9dbb2a996c3742b	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	44
